City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
141,Dakar,SN,77.88,broken clouds,14.6937,-17.4441,Redface Studios Meublés
142,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
158,Lorengau,PG,84.02,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
159,Esperance,AU,76.84,broken clouds,-33.8667,121.9,Hospitality Esperance
162,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
165,Butaritari,KI,81.41,few clouds,3.0707,172.7902,Isles Sunset Lodge
167,Maumere,ID,85.96,overcast clouds,-8.6199,122.2111,Sylvia Hotel
168,Faanui,PF,80.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Champerico,GT,80.76,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
171,Kismayo,SO,78.42,broken clouds,-0.3582,42.5454,Agan-Hotel
172,Lazaro Cardenas,MX,77.05,clear sky,17.9583,-102.2,quinta antigua
174,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
182,Alofi,NU,84.09,few clouds,-19.0595,-169.9187,Taloa Heights
184,Karangasem,ID,86.88,broken clouds,-8.45,115.6167,Villa Campuhan
186,Palmas,BR,78.67,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
206,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
210,Paciran,ID,86.27,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
212,Gayeri,BF,76.89,clear sky,12.6497,0.4931,
214,Tamandare,BR,77.67,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
215,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
218,Barra Patuca,HN,77.02,scattered clouds,15.8,-84.2833,
227,Dawei,MM,87.64,scattered clouds,14.0833,98.2,Hotel Dawei
228,San Patricio,US,75.88,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
229,Itajobi,BR,77.79,few clouds,-21.3181,-49.0544,Bruno Ferreira
230,Mana,GF,78.12,clear sky,5.6592,-53.7767,LE SAMANA
231,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
232,Parana,AR,75.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
241,Itarema,BR,78.8,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
242,San Ramon De La Nueva Oran,AR,75.6,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
243,Nago,JP,75.36,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
245,Nioro,GM,77.31,overcast clouds,13.35,-15.75,
249,Acajutla,SV,79.34,broken clouds,13.5928,-89.8275,asi es
250,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
251,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
