City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
78,Ketchikan,55.3422,-131.6461,45.07,93,90,4.61,US,light rain,2021-11-22 02:52:43
79,Jalu,29.0331,21.5482,60.1,59,3,5.73,LY,clear sky,2021-11-22 02:52:44
80,Namatanai,-3.6667,152.4333,86.47,66,14,9.31,PG,few clouds,2021-11-22 02:52:44
81,Kodiak,57.79,-152.4072,27.91,37,1,6.91,US,clear sky,2021-11-22 02:52:45
82,Marrakesh,31.6315,-8.0083,59.07,72,75,3.44,MA,broken clouds,2021-11-22 02:52:45
83,Castro,-24.7911,-50.0119,55.69,80,9,4.03,BR,clear sky,2021-11-22 02:52:45
84,Nenjiang,49.1833,125.2167,13.66,87,100,16.8,CN,overcast clouds,2021-11-22 02:52:46
85,Tasiilaq,65.6145,-37.6368,31.39,95,100,7.92,GL,light snow,2021-11-22 02:52:46
86,Honiara,-9.4333,159.95,87.85,57,12,4.43,SB,few clouds,2021-11-22 02:52:46
87,Clyde River,70.4692,-68.5914,3.43,85,96,2.3,CA,overcast clouds,2021-11-22 02:52:47
88,Norfolk,42.1668,-71.2495,54.14,86,90,1.01,US,overcast clouds,2021-11-22 02:47:52
89,Chokurdakh,70.6333,147.9167,-14.4,98,100,3.76,RU,overcast clouds,2021-11-22 02:52:47
90,Erenhot,43.6475,111.9767,14.72,30,0,14.52,CN,clear sky,2021-11-22 02:52:48
91,Codrington,-38.2667,141.9667,66.83,56,94,12.88,AU,overcast clouds,2021-11-22 02:52:48
92,Katsuura,35.1333,140.3,62.19,85,100,26.06,JP,moderate rain,2021-11-22 02:52:49
93,Ancud,-41.8697,-73.8203,54.93,94,63,7.63,CL,broken clouds,2021-11-22 02:52:49
94,Chernyshevskiy,63.0128,112.4714,-19.32,100,94,1.32,RU,overcast clouds,2021-11-22 02:52:49
95,Jawhar,2.7809,45.5005,72.84,85,61,6.17,SO,broken clouds,2021-11-22 02:52:50
96,Mackay,-21.15,149.2,92.68,43,16,19.57,AU,few clouds,2021-11-22 02:52:50
97,Slave Lake,55.2834,-114.769,38.21,84,97,11.65,CA,overcast clouds,2021-11-22 02:53:51
98,Maputo,-25.9653,32.5892,70.23,87,100,6.62,MZ,light rain,2021-11-22 02:48:55
99,Broken Hill,-31.95,141.4333,73.11,43,87,13.8,AU,overcast clouds,2021-11-22 02:53:51
100,Adiake,5.2863,-3.304,80.19,87,82,4.43,CI,light rain,2021-11-22 02:53:52
101,Sabha,27.0377,14.4283,61.16,53,5,11.05,LY,clear sky,2021-11-22 02:53:53
102,Lac Du Bonnet,50.2536,-96.0612,12.67,88,97,8.72,CA,overcast clouds,2021-11-22 02:53:53
103,Fortuna,40.5982,-124.1573,49.12,51,1,0.0,US,clear sky,2021-11-22 02:53:53
