City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,Arvika,59.6553,12.5852,38.01,85,100,5.99,SE,2021-11-15 01:16:16
350,Katobu,-4.9408,122.5276,81.55,81,100,2.93,ID,2021-11-15 01:16:16
351,Maningrida,-12.0667,134.2667,90.14,29,100,13.58,AU,2021-11-15 01:16:16
352,Muscatine,41.4667,-91.1335,35.19,55,90,1.01,US,2021-11-15 01:16:17
353,Bambous Virieux,-20.3428,57.7575,76.21,78,20,10.36,MU,2021-11-15 01:16:17
354,Tuatapere,-46.1333,167.6833,62.37,47,100,3.36,NZ,2021-11-15 01:16:18
355,Teguldet,57.3064,88.1667,26.38,95,100,8.19,RU,2021-11-15 01:16:18
356,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,75.97,87,100,1.54,BR,2021-11-15 01:16:19
357,Mandawar,29.5,78.1333,57.43,69,0,1.43,IN,2021-11-15 01:16:19
358,Hamilton,39.1834,-84.5333,36.88,82,90,3.0,US,2021-11-15 01:15:54
359,Kangaatsiaq,68.3065,-53.4641,14.38,87,100,5.77,GL,2021-11-15 01:16:20
360,Alcantara,-2.4089,-44.4147,82.6,85,100,7.49,BR,2021-11-15 01:16:20
361,Westport,41.1415,-73.3579,50.0,67,90,11.99,US,2021-11-15 01:11:30
362,San Ramon,37.7799,-121.978,68.18,78,1,9.22,US,2021-11-15 01:11:35
363,Lata,40.1629,-8.3327,52.81,62,0,3.24,PT,2021-11-15 01:16:21
364,Mankato,44.1636,-93.9994,29.68,85,90,5.75,US,2021-11-15 01:16:22
365,Viru,-8.4167,-78.75,61.9,77,59,4.18,PE,2021-11-15 01:17:22
366,Guangyuan,32.442,105.823,47.68,74,99,3.85,CN,2021-11-15 01:17:23
367,Vagay,57.9375,69.0217,11.01,88,8,5.39,RU,2021-11-15 01:17:23
368,Vestmanna,62.1564,-7.1664,45.52,81,75,13.8,FO,2021-11-15 01:17:23
369,Tuy Hoa,13.0833,109.3,75.78,96,100,6.73,VN,2021-11-15 01:17:24
370,Dakar,14.6937,-17.4441,77.88,76,61,12.37,SN,2021-11-15 01:17:24
371,Upington,-28.4478,21.2561,66.58,45,0,1.14,ZA,2021-11-15 01:17:25
372,Lewisporte,49.2499,-55.0482,46.11,93,96,7.23,CA,2021-11-15 01:16:14
373,Skjervoy,70.0311,20.9714,34.0,65,100,17.0,NO,2021-11-15 01:17:25
374,Bismarck,46.8083,-100.7837,41.86,83,90,6.91,US,2021-11-15 01:17:26
375,Hohhot,40.8106,111.6522,25.09,68,0,4.47,CN,2021-11-15 01:17:27
376,Tomatlan,19.9333,-105.25,74.57,81,10,0.36,MX,2021-11-15 01:17:27
377,Kautokeino,69.0125,23.0412,21.29,83,100,24.72,NO,2021-11-15 01:17:27
378,Shache,38.4167,77.2406,31.87,43,0,0.78,CN,2021-11-15 01:17:28
379,Gravdal,68.1214,13.5031,43.21,93,100,40.44,NO,2021-11-15 01:17:29
380,Ayan,56.45,138.1667,12.63,65,100,19.17,RU,2021-11-15 01:17:29
381,Alfredo Baquerizo Moreno,-1.9167,-79.5167,75.18,60,88,7.63,EC,2021-11-15 01:17:29
382,Mandali,33.7499,45.5541,65.28,31,100,8.3,IQ,2021-11-15 01:17:30
383,Aripuana,-9.1667,-60.6333,74.88,91,30,1.92,BR,2021-11-15 01:17:30
384,Kovdor,67.5662,30.4758,13.86,96,100,4.43,RU,2021-11-15 01:17:31
385,Laerdalsoyri,61.098,7.4816,32.94,78,100,6.76,NO,2021-11-15 01:17:32
386,Novyy Urengoy,66.0833,76.6333,-0.11,95,24,10.22,RU,2021-11-15 01:17:33
387,Mahuva,21.0914,71.7622,72.19,41,83,11.39,IN,2021-11-15 01:17:33
388,Cutro,39.0353,16.9819,56.46,73,100,1.63,IT,2021-11-15 01:17:34
389,Mehamn,71.0357,27.8492,24.51,72,100,12.21,NO,2021-11-15 01:17:34
390,Tautira,-17.7333,-149.15,82.42,75,100,2.3,PF,2021-11-15 01:17:35
391,Sitka,57.0531,-135.33,40.89,60,90,6.91,US,2021-11-15 01:17:35
392,Pimenta Bueno,-11.6725,-61.1936,75.25,96,99,3.02,BR,2021-11-15 01:17:36
393,Sao Felix Do Xingu,-6.6447,-51.995,73.18,97,99,0.34,BR,2021-11-15 01:17:36
394,Cockburn Town,21.4612,-71.1419,82.35,75,100,14.41,TC,2021-11-15 01:17:37
395,Winnemucca,40.973,-117.7357,57.25,47,1,6.91,US,2021-11-15 01:17:37
396,Adrar,20.5022,-10.0711,74.23,34,4,9.44,MR,2021-11-15 01:17:37
397,Makakilo City,21.3469,-158.0858,79.12,68,75,3.44,US,2021-11-15 01:13:46
398,Khandyga,62.6667,135.6,-14.75,98,76,0.63,RU,2021-11-15 01:17:38
399,Umm Lajj,25.0213,37.2685,76.75,67,4,8.25,SA,2021-11-15 01:17:38
400,Gohand,25.7,79.55,61.74,50,1,1.79,IN,2021-11-15 01:17:39
401,Boueni,-12.9025,45.0761,78.78,76,4,8.52,YT,2021-11-15 01:17:39
402,Kiama,-34.6833,150.8667,65.37,46,34,19.51,AU,2021-11-15 01:17:40
403,Maraba,-5.3686,-49.1178,74.37,94,100,2.28,BR,2021-11-15 01:17:40
404,Kasempa,-13.4584,25.8338,62.24,97,100,1.74,ZM,2021-11-15 01:17:41
405,Huanren,41.2647,125.3667,36.81,68,6,2.57,CN,2021-11-15 01:17:41
406,Wattegama,6.7989,81.4808,74.03,88,69,1.66,LK,2021-11-15 01:17:42
407,Beloha,-25.1667,45.05,68.27,89,26,5.35,MG,2021-11-15 01:17:42
408,Kamaishi,39.2667,141.8833,47.35,73,97,8.1,JP,2021-11-15 01:17:43
409,Jiexiu,37.0244,111.9125,45.28,35,100,2.15,CN,2021-11-15 01:17:43
410,Hammerfest,70.6634,23.6821,28.85,69,100,4.61,NO,2021-11-15 01:17:44
